Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Nitro lookbook id (product.metafields.nitro_lookbook.lookbook_product),Hide from Search (product.metafields.seo.hidden),Age group (product.metafields.shopify.age-group),Clothing features (product.metafields.shopify.clothing-features),Color (product.metafields.shopify.color-pattern),Fabric (product.metafields.shopify.fabric),Neckline (product.metafields.shopify.neckline),Size (product.metafields.shopify.size),Sleeve length type (product.metafields.shopify.sleeve-length-type),Target gender (product.metafields.shopify.target-gender),Top length type (product.metafields.shopify.top-length-type),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Included / Vietnam,Price / Vietnam,Compare At Price / Vietnam,Status
hoodie-pod-us-form,,,,,,,,,maroon,,,s,,,,,,400.0,,0,continue,manual,15.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/Maroon_404c2165-f1e3-4779-ab22-0fb6ab11852f.png?v=1734195052,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,maroon,,,m,,,,,,400.0,,0,continue,manual,15.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/Maroon_404c2165-f1e3-4779-ab22-0fb6ab11852f.png?v=1734195052,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,maroon,,,l,,,,,,400.0,,0,continue,manual,15.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/Maroon_404c2165-f1e3-4779-ab22-0fb6ab11852f.png?v=1734195052,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,maroon,,,xl,,,,,,400.0,,0,continue,manual,15.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/Maroon_404c2165-f1e3-4779-ab22-0fb6ab11852f.png?v=1734195052,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,maroon,,,xxl,,,,,,400.0,,0,continue,manual,17.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/Maroon_404c2165-f1e3-4779-ab22-0fb6ab11852f.png?v=1734195052,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,maroon,,,xxxl,,,,,,400.0,,0,continue,manual,20.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/Maroon_404c2165-f1e3-4779-ab22-0fb6ab11852f.png?v=1734195052,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,maroon,,,4xl,,,,,,400.0,,0,continue,manual,22.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/Maroon_404c2165-f1e3-4779-ab22-0fb6ab11852f.png?v=1734195052,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,mint,,,s,,,,,,400.0,,0,continue,manual,15.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/Mint_Green.png?v=1734195224,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,mint,,,m,,,,,,400.0,,0,continue,manual,15.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/Mint_Green.png?v=1734195224,kg,,,,,,,,,,,,
hoodie-pod-us-form,,,,,,,,,mint,,,l,,,,,,400.0,,0,continue,manual,15.50,,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0884/8162/8475/files/Mint_Green.png?v=1734195224,kg,,,,,,,,,,,,
